Nama,Posisi,Umur,Overall_Rating,Potential
C. Kostoulas,ST,18,73,85
M. Yalcouyé,CM,19,70,79
Ricardo Mangas,LM,27,74,74
M. Carnesecchi,GK,25,85,88
A. Stepanov,ST,17,67,83
J. King,CAM,18,74,84
Lamine Yamal,RW,17,89,95
S. El Mala,LM,18,76,87
K. Mbappé,ST,26,91,92
J. Rudoni,CAM,24,75,80
F. Onyeka,CAM,18,67,86
B. Brobbey,ST,23,77,83
T. Gomis,LM,18,70,85
C. Yirenkyi,CM,19,71,83
Wang Gang,RB,36,61,61
B. Barcola,LW,22,84,88
J. Bellingham,CM,19,77,83
Neymar Jr,CAM,33,83,83
Nuno Tavares,LB,25,76,79
L. Vušković,CB,18,78,88
J. Jacquet,CB,19,76,85
J. Mokio,CDM,17,70,88
R. Vaz,ST,18,70,86
A. Romano,CDM,19,65,79
Mateus Mané,CAM,17,71,84
M. Ødegaard,CM,26,86,87
O. Dembélé,ST,28,90,90
M. Godts,LW,20,77,86
M. Baturina,CAM,22,79,84
Balde,LB,21,83,87
A. Güler,RM,20,83,89
A. Ouédraogo,CM,19,74,87
Fermín,CAM,22,83,87
A. Bouaddi,CDM,17,78,86
K. Karetsas,CAM,17,74,86
M. Amondarain,CM,20,72,81
R. Ngumoha,LM,16,72,88
Thiago Pitarch,CM,17,68,85
Jan Virgili,LW,18,75,86
Xavi Espart,RB,18,63,81
V. Pavlidis,ST,26,83,84
T. Alexander-Arnold,RB,26,85,86
J. Quiñones,ST,28,81,81
E. Mason-Clark,LM,25,73,74
J. Alvarez,ST,25,86,89
N. Schlotterbeck,CB,25,86,88
J. Greaves,CB,24,74,79
H. Ekitiké,ST,23,85,88
Luiz Henrique,RM,24,78,81
S. Pafundi,CAM,19,69,84
J. Quansah,CB,22,76,84
João Neves,CM,20,88,93
João Gomes,CDM,24,78,83
L. Miley,CM,19,76,86
C. Uzun,CAM,19,78,85
P. Ratkov,ST,21,68,78
T. Barry,ST,22,76,84
M. Kayode,RB,20,80,85
Rodri Mendoza,CM,20,71,84
F. Jeltsch,CB,18,74,87
Jesús Rodríguez,LM,19,77,85
D. Mukasa,CAM,17,68,85
A. Jagušić,CAM,19,73,85
23 D. Payet,CAM,35,80,80
R. Lewandowski,ST,36,86,86
P. Dybala,CAM,31,85,85
David Raya,GK,29,87,87
Rúben Neves,CDM,28,85,85
C. Nkunku,CAM,27,81,81
F. Tomori,CB,27,81,83
F. Kadıoğlu,LB,25,79,81
M. Kean,ST,25,83,86
Vini Jr.,LW,24,89,92
E. Haaland,ST,24,91,93
Marc Cucurella,LB,26,85,85
Matheus Cunha,CAM,26,83,84
L. Suárez,ST,27,80,80
B. Saka,RW,23,87,89
Bruno Guimarães,CM,27,86,86
M. Wieffer,CDM,25,78,81
João Pedro,ST,23,82,86
K. Tzolakis,GK,22,79,86
N. Madueke,RW,23,80,84
A. Dedić,RB,22,76,82
D. Udogie,LB,22,79,83
M. Kjaergaard,CM,22,73,82
T. Douvikas,ST,25,76,79
V. Barco,CM,20,78,84
Iván Romero,ST,24,75,80
E. Poku,RM,21,76,85
C. Bradley,RB,21,79,84
M. van de Ven,CB,24,82,85
Álvaro Carreras,LB,22,81,87
Diego Moreira,RM,20,78,84
Tiago Santos,RB,22,75,79
Mateus Fernandes,CM,20,79,85
E. Mayenda,ST,20,72,82
C. Baleba,CDM,21,80,86
João Neves,CM,20,88,93
D. Gómez,CDM,22,77,84
W. Odobert,LW,20,77,84
W. Zaïre-Emery,CM,19,83,89
Carlos Romero,LB,23,79,83
N. Triantis,CM,22,70,79
D. Seimen,GK,19,69,84
Y. Minteh,RM,20,80,86
M. Del Blanco,LB,21,73,84
C. Rigg,CAM,18,72,84
S. Tzimas,ST,19,72,81
A. Pavlović,CDM,21,82,87
A. Diao,RM,19,76,87
N. Darvich,CAM,18,63,82
P. Sučić,CM,21,77,83
S. Mouriño,RB,23,78,85
Mella,RM,20,71,82
D. Huijsen,CB,20,81,88
J. Kusi-Asare,ST,17,62,84
Marc Guiu,ST,19,71,84
J. Meghoma,LB,19,68,82
Geovany Quenda,RM,18,76,88
G. Scamacca,ST,26,78,79
E. Konsa,CB,27,84,85
Nuno Santos,LM,30,77,77
M. Thuram,ST,27,85,85
Brahim,RM,25,81,82
Raphinha,LW,28,89,89
Rúben Vinagre,LB,26,70,71
J. Bellegarde,CAM,27,75,76
K. Havertz,ST,26,82,84
M. Gibbs-White,CAM,25,81,83
A. Caci,RB,28,78,78
P. Foden,CAM,25,85,88
R. James,RB,25,84,86
P. Struijk,CB,25,76,78
L. Díaz,LM,28,87,87
A. Tchouaméni,CDM,25,84,87
Aitor Ruibal,RM,29,77,77
L. Ferguson,CDM,25,78,81
J. David,ST,25,81,84
M. Simakan,CB,25,81,86
M. Hjulmand,CDM,26,83,86
M. Greenwood,RM,23,83,86
E. Le Fée,CM,25,78,80
D. Vlahović,ST,25,81,84
F. Nmecha,CM,24,84,86
E. Fernández,CM,24,85,88
26 J. Durán,ST,21,79,85
Ibañez,CB,26,82,84
W. Isidor,ST,24,75,78
M. Olise,RM,23,89,91
S. Boey,RB,24,75,78
K. Koné,CM,24,80,84
R. Zalazar,CAM,25,80,83
M. De Cuyper,LB,24,79,83
K. Adeyemi,RM,23,82,86
Pedri,CM,22,90,93
C. Summerville,LM,23,78,83
Giuliano,RM,22,82,86
P. Hincapié,LB,23,83,87
F. Wirtz,CAM,22,87,91
O. Marmoush,LW,26,83,83
I. Schmidt,LB,25,72,75
J. Musiala,CAM,22,87,91
J. Breum,CAM,21,74,82
C. Tzolis,LM,23,81,87
Fábio Vieira,CM,25,77,81
I. Doukouré,CB,21,77,83
Álex Baena,LM,23,82,87
Y. Ayari,CDM,21,79,85
Gabri Veiga,CAM,23,79,86
C. Chukwuemeka,CAM,21,78,84
G. Konstantelias,CAM,22,79,84
K. Schade,LM,23,79,83
I. Ndiaye,RM,25,82,83
C. Lukeba,CB,22,81,87
R. Onyedika,CDM,24,78,85
G. Scalvini,CB,21,78,86
G. Restes,GK,20,78,85
L. Querfeld,CB,21,77,84
N. Tresoldi,ST,20,74,88
Tiago Gabriel,CB,20,69,77
Gustavo Varela,ST,20,68,79
J. Lerma,CAM,17,64,85
D. Odogu,CB,19,65,83
C. Mouzakitis,CM,18,73,86
Marc Bernal,CDM,18,75,86
H. Ahanor,CB,17,72,81
F. Ivanović,ST,21,74,83
K. Alajbegović,CAM,17,68,83
Víctor Muñoz,LW,21,78,86
M. Kaba,CDM,16,61,85
G. Mora,CAM,16,73,87
M. Ibrahimović,LW,18,63,81
L. Reggiani,CB,17,66,82
L. Messi,CAM,38,86,86
İ. Gündoğan,CM,34,80,80
P. Aubameyang,ST,36,81,81
De Gea,GK,34,84,84
S. de Vrij,CB,33,83,83
L. Insigne,CAM,34,74,74
F. Acerbi,CB,37,83,83
H. Kane,ST,31,90,90
H. Maguire,CB,32,81,81
F. Thauvin,RW,32,81,81
João Cancelo,RB,31,84,84
Rubén Blanco,GK,29,73,74
26 D. Alli,CM,29,71,71
R. De Paul,CM,31,83,83
J. Tah,CB,29,87,87
Adama Traoré,RM,29,75,75
N. Kanté,CDM,34,84,84
G. Scamacca,ST,26,78,79
E. Konsa,CB,27,84,85
Nuno Santos,LM,30,77,77
M. Thuram,ST,27,85,85
Brahim,RM,25,81,82
Raphinha,LW,28,89,89
O. Diakité,ST,21,72,82
Jon Martín,CB,19,77,86
O. Bobb,RM,21,76,84
N. O'Reilly,LB,20,81,86
P. Dorgu,LM,20,77,84
Eguinaldo,LM,20,70,82
G. Zechiël,CM,21,71,83
S. Chérif,ST,18,72,83
M. Belloumi,RM,23,72,78
Wang Yudong,LW,18,64,79
D. Tıknaz,CDM,20,72,82
Dani Barcia,CB,22,69,75
Murillo,CB,22,82,86
B. Meupiyou,CB,19,64,74
E. Mbappé,RM,18,72,82
Y. Titi,RB,19,65,78
M. Palestra,RB,20,75,84
A. Anselmino,CB,20,73,81
Yarek,CB,20,76,85
Y. Akçiçek,CB,19,66,82
F. Mastantuono,RM,17,77,87
L. Castledine,CAM,19,68,78
A. Bajrami,CB,23,67,75
Moleiro,LM,21,82,87
T. Small,LB,20,70,80
Yeremay,LM,22,76,84
Cristhian Mosquera,CB,21,77,85
J. Bakayoko,RW,22,77,84
T. Morton,CDM,22,79,84
R. Bardghji,RW,19,74,85
César Tárrega,CB,23,75,82
J. Gittens,LM,20,78,84
Geny Catamo,RM,24,78,81
T. Hume,RB,23,78,81
J. Fazzini,CAM,22,72,81
Éderson,CM,25,82,85
N. Deossa,CDM,25,75,80
A. Fatawu,RM,21,76,83
S. Castro,ST,20,77,84
E. Bardeli,CM,24,73,78
M. Perrone,CDM,22,76,84
N. Weiper,ST,20,70,83
W. Kambwala,CB,20,72,81
O. Forson,RM,20,65,77
A. Garnacho,LM,21,78,84
